"No.","Time","Delta","Source","Destination","Protocol","Length","Value","Info"
"9624","2021-12-21 13:47:05.334091","0.000000","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244305333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"9628","2021-12-21 13:47:05.425438","0.091347","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244305333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"9632","2021-12-21 13:47:05.515464","0.090026","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244305333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"9638","2021-12-21 13:47:05.649538","0.134074","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244305333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"9642","2021-12-21 13:47:05.739331","0.089793","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244355333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"9676","2021-12-21 13:47:07.224177","1.484846","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244305333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"9678","2021-12-21 13:47:07.270389","0.046212","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244305333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"9684","2021-12-21 13:47:07.403134","0.132745","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244305333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"9688","2021-12-21 13:47:07.539187","0.136053","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244305333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"9692","2021-12-21 13:47:07.629049","0.089862","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244305333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"9698","2021-12-21 13:47:07.763292","0.134243","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244355333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"10272","2021-12-21 13:47:23.378519","15.615227","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244315333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"10274","2021-12-21 13:47:23.513545","0.135026","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244315333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"10276","2021-12-21 13:47:23.648815","0.135270","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244315333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"10280","2021-12-21 13:47:23.782537","0.133722","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244315333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"10282","2021-12-21 13:47:23.827504","0.044967","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244315333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"10288","2021-12-21 13:47:23.962852","0.135348","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244315333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"10292","2021-12-21 13:47:24.053749","0.090897","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244355333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"10306","2021-12-21 13:47:24.367630","0.313881","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244315333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"10310","2021-12-21 13:47:24.501818","0.134188","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244315333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"10314","2021-12-21 13:47:24.638338","0.136520","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244315333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"10318","2021-12-21 13:47:24.727131","0.088793","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244315333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"10324","2021-12-21 13:47:24.863046","0.135915","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244315333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"10328","2021-12-21 13:47:24.953685","0.090639","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244315333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"10334","2021-12-21 13:47:25.087507","0.133822","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244355333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"11153","2021-12-21 13:47:48.080010","22.992503","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"11159","2021-12-21 13:47:48.215300","0.135290","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"11163","2021-12-21 13:47:48.305068","0.089768","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"11169","2021-12-21 13:47:48.440366","0.135298","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"11175","2021-12-21 13:47:48.574984","0.134618","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"11179","2021-12-21 13:47:48.663991","0.089007","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"11181","2021-12-21 13:47:48.709856","0.045865","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"11185","2021-12-21 13:47:48.800012","0.090156","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"11189","2021-12-21 13:47:48.890335","0.090323","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325333","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
